ID,Revenue
10481,FALSE
10482,FALSE
10483,FALSE
10484,FALSE
10485,TRUE
10486,TRUE
10487,FALSE
10488,FALSE
10489,FALSE
10490,FALSE
10491,FALSE
10492,FALSE
10493,FALSE
10494,FALSE
10495,FALSE
10496,FALSE
10497,FALSE
10498,TRUE
10499,FALSE
10500,FALSE
10501,FALSE
10502,FALSE
10503,FALSE
10504,FALSE
10505,FALSE
10506,FALSE
10507,FALSE
10508,FALSE
10509,FALSE
10510,FALSE
10511,TRUE
10512,FALSE
10513,FALSE
10514,FALSE
10515,FALSE
10516,FALSE
10517,FALSE
10518,FALSE
10519,FALSE
10520,FALSE
10521,FALSE
10522,FALSE
10523,FALSE
10524,FALSE
10525,FALSE
10526,FALSE
10527,FALSE
10528,FALSE
10529,FALSE
10530,FALSE
10531,FALSE
10532,FALSE
10533,FALSE
10534,FALSE
10535,TRUE
10536,FALSE
10537,TRUE
10538,FALSE
10539,FALSE
10540,FALSE
10541,FALSE
10542,FALSE
10543,TRUE
10544,FALSE
10545,FALSE
10546,FALSE
10547,FALSE
10548,FALSE
10549,FALSE
10550,TRUE
10551,FALSE
10552,FALSE
10553,FALSE
10554,TRUE
10555,FALSE
10556,FALSE
10557,FALSE
10558,FALSE
10559,FALSE
10560,FALSE
10561,FALSE
10562,FALSE
10563,FALSE
10564,TRUE
10565,FALSE
10566,FALSE
10567,TRUE
10568,FALSE
10569,FALSE
10570,FALSE
10571,TRUE
10572,FALSE
10573,FALSE
10574,FALSE
10575,FALSE
10576,FALSE
10577,FALSE
10578,FALSE
10579,FALSE
10580,FALSE
10581,FALSE
10582,FALSE
10583,TRUE
10584,FALSE
10585,FALSE
10586,FALSE
10587,FALSE
10588,FALSE
10589,TRUE
10590,FALSE
10591,FALSE
10592,FALSE
10593,FALSE
10594,FALSE
10595,FALSE
10596,FALSE
10597,FALSE
10598,FALSE
10599,FALSE
10600,TRUE
10601,FALSE
10602,FALSE
10603,FALSE
10604,FALSE
10605,FALSE
10606,FALSE
10607,TRUE
10608,FALSE
10609,TRUE
10610,FALSE
10611,FALSE
10612,FALSE
10613,FALSE
10614,FALSE
10615,FALSE
10616,FALSE
10617,FALSE
10618,FALSE
10619,FALSE
10620,FALSE
10621,FALSE
10622,FALSE
10623,TRUE
10624,FALSE
10625,FALSE
10626,FALSE
10627,FALSE
10628,FALSE
10629,FALSE
10630,TRUE
10631,FALSE
10632,FALSE
10633,FALSE
10634,FALSE
10635,TRUE
10636,TRUE
10637,FALSE
10638,FALSE
10639,TRUE
10640,FALSE
10641,FALSE
10642,TRUE
10643,FALSE
10644,FALSE
10645,FALSE
10646,FALSE
10647,FALSE
10648,FALSE
10649,FALSE
10650,FALSE
10651,FALSE
10652,FALSE
10653,FALSE
10654,FALSE
10655,TRUE
10656,FALSE
10657,FALSE
10658,FALSE
10659,FALSE
10660,FALSE
10661,FALSE
10662,FALSE
10663,FALSE
10664,TRUE
10665,TRUE
10666,FALSE
10667,FALSE
10668,FALSE
10669,FALSE
10670,FALSE
10671,TRUE
10672,FALSE
10673,FALSE
10674,FALSE
10675,FALSE
10676,FALSE
10677,FALSE
10678,TRUE
10679,TRUE
10680,FALSE
10681,FALSE
10682,FALSE
10683,FALSE
10684,FALSE
10685,FALSE
10686,FALSE
10687,FALSE
10688,FALSE
10689,FALSE
10690,FALSE
10691,FALSE
10692,FALSE
10693,FALSE
10694,FALSE
10695,FALSE
10696,FALSE
10697,FALSE
10698,FALSE
10699,TRUE
10700,FALSE
10701,TRUE
10702,FALSE
10703,FALSE
10704,FALSE
10705,TRUE
10706,FALSE
10707,FALSE
10708,FALSE
10709,FALSE
10710,FALSE
10711,FALSE
10712,FALSE
10713,FALSE
10714,FALSE
10715,FALSE
10716,FALSE
10717,FALSE
10718,FALSE
10719,FALSE
10720,FALSE
10721,FALSE
10722,FALSE
10723,FALSE
10724,FALSE
10725,FALSE
10726,FALSE
10727,FALSE
10728,FALSE
10729,FALSE
10730,TRUE
10731,TRUE
10732,FALSE
10733,FALSE
10734,FALSE
10735,FALSE
10736,FALSE
10737,FALSE
10738,FALSE
10739,FALSE
10740,FALSE
10741,TRUE
10742,FALSE
10743,FALSE
10744,FALSE
10745,FALSE
10746,FALSE
10747,FALSE
10748,FALSE
10749,FALSE
10750,FALSE
10751,FALSE
10752,FALSE
10753,FALSE
10754,FALSE
10755,FALSE
10756,FALSE
10757,FALSE
10758,TRUE
10759,FALSE
10760,FALSE
10761,FALSE
10762,FALSE
10763,FALSE
10764,TRUE
10765,FALSE
10766,FALSE
10767,FALSE
10768,FALSE
10769,FALSE
10770,FALSE
10771,TRUE
10772,FALSE
10773,FALSE
10774,FALSE
10775,FALSE
10776,FALSE
10777,FALSE
10778,FALSE
10779,FALSE
10780,FALSE
10781,FALSE
10782,FALSE
10783,FALSE
10784,FALSE
10785,FALSE
10786,FALSE
10787,FALSE
10788,FALSE
10789,FALSE
10790,TRUE
10791,FALSE
10792,FALSE
10793,FALSE
10794,FALSE
10795,FALSE
10796,FALSE
10797,FALSE
10798,FALSE
10799,FALSE
10800,FALSE
10801,FALSE
10802,FALSE
10803,FALSE
10804,FALSE
10805,FALSE
10806,FALSE
10807,FALSE
10808,TRUE
10809,FALSE
10810,FALSE
10811,FALSE
10812,FALSE
10813,FALSE
10814,FALSE
10815,FALSE
10816,FALSE
10817,FALSE
10818,FALSE
10819,TRUE
10820,FALSE
10821,FALSE
10822,FALSE
10823,FALSE
10824,FALSE
10825,FALSE
10826,TRUE
10827,FALSE
10828,FALSE
10829,FALSE
10830,TRUE
10831,FALSE
10832,FALSE
10833,FALSE
